match_type,count,mean,median,p90,p95,p99,pct_≤5m,pct_≤10m,pct_≤20m,pct_≤50m,pct_≤100m
distance_matching_1_UIC reference,8949,6.343520988602079,5.32437,11.27418,14.59814000000001,24.65010000000001,45.70343055089954,86.0207844451894,97.97742764554698,100.0,100.0
distance_matching_1_UIC reference_stop_position,6278,5.950272212153552,5.0792649999999995,10.04574,12.859779999999997,22.904213999999968,48.757566103854735,89.80567059573113,98.53456514813634,100.0,100.0
distance_matching_1_name,92,10.97728477173913,8.29185,21.539600000000004,28.04496000000001,43.44479500000001,22.82608695652174,64.13043478260869,86.95652173913044,100.0,100.0
distance_matching_1_name_stop_position,36,5.8922486111111105,4.710115,12.4269,13.983225,17.342599999999994,58.333333333333336,80.55555555555556,100.0,100.0,100.0
distance_matching_1_uic_name,20,5.63549298,3.98677,12.52983,12.985215000000006,17.905682999999993,55.00000000000001,85.0,100.0,100.0,100.0
distance_matching_1_uic_name_stop_position,9,7.613236666666667,3.37831,14.352488000000005,24.99474399999999,33.5085488,66.66666666666666,88.88888888888889,88.88888888888889,100.0,100.0
distance_matching_2,129,16.396772479069767,12.6615,38.3493,40.89352,45.711216,25.581395348837212,44.18604651162791,67.44186046511628,100.0,100.0
distance_matching_3a,2012,14.90455015805169,8.487025,40.805220000000006,46.04095999999999,49.35678899999999,28.97614314115308,55.417495029821076,73.01192842942345,100.0,100.0
distance_matching_3b,1136,3.7448369128521124,3.320755,6.93229,8.088135000000001,10.219725000000022,73.8556338028169,98.8556338028169,100.0,100.0,100.0
duplicate_propagation,66,20.717379439393937,8.62398,42.967749999999995,79.207275,160.40014999999985,24.242424242424242,56.060606060606055,78.78787878787878,90.9090909090909,95.45454545454545
exact,21124,22.252441790435526,9.093219999999999,51.20598000000001,82.51852999999994,206.83886000000024,27.433251278167013,53.67354667676576,74.50766900208295,89.68471880325696,96.41639840939216
exact_postpass,883,81.48798527859569,57.8714,154.1926000000001,222.7299,389.36605999999836,5.662514156285391,15.628539071347678,27.293318233295583,41.336353340883356,75.19818799547
name,535,32.37512517943925,11.9074,71.01678000000004,123.99609999999997,300.57772,21.682242990654206,44.48598130841121,63.73831775700934,84.67289719626169,92.5233644859813
route_unified_gtfs,4179,13.789203945680786,9.7051,32.79366,40.55312,48.044402000000005,23.809523809523807,51.35199808566643,76.66905958363245,100.0,100.0
route_unified_hrdf,2765,10.276341789511754,7.19758,22.700439999999997,30.740499999999994,44.91836000000002,33.45388788426763,65.53345388788426,86.79927667269439,100.0,100.0
