operator,count,mean,median,p90
BBF-pbf,5,40.059990799999994,14.7875,102.27552
FPR,3,13.56303,14.9598,17.090600000000002
TCSA,4,35.358145,15.034725000000002,81.55019000000001
TTM,2,15.116885,15.116885,24.873377
TLLM,2,15.29913,15.29913,22.002626
SOB-sob,37,18.079619459459458,15.3443,37.88449999999999
RMAG,2,15.46385,15.46385,17.23205
LMM,4,14.787545,15.49954,22.24376
MVR-las,2,15.642700000000001,15.642700000000001,19.31334
SWG,2,15.866600000000002,15.866600000000002,18.56804
LORB,2,16.78405,16.78405,20.07369
GR-fsl,2,17.367282,17.367282,30.5276964
BLS-ebt,46,23.179955434782606,17.515050000000002,45.7515
BLS-bn,25,17.962453319999998,17.8687,28.284780000000005
BLS-vhb,23,19.412577826086956,18.1501,42.281040000000004
ARL,49,30.840580734693873,18.2491,79.53496000000003
MGB-fo,40,26.29709225,18.89125,49.4107
SWAG,3,18.99653,19.1545,27.59098
SGH,8,19.0625475,19.57075,28.028049999999997
BGST,2,20.4929,20.4929,21.318579999999997
BB,1,20.5322,20.5322,20.5322
THURBO,8,21.2745425,21.01485,40.26472
BRB,4,18.76259,21.32815,26.959100000000003
G3AG,12,30.6452925,21.386850000000003,74.09782
SMF-lsm,4,21.9244525,21.49245,38.170930000000006
BLS-sez,24,33.87058916666667,22.63925,41.205619999999996
SUTU,9,40.644727777777774,22.7852,76.03616
DKB-lswj,3,22.9182,23.4509,25.42858
SBB,1839,37.55630511843393,24.332,79.58096000000002
LBB,11,32.90935481818182,24.4554,77.7818
SGG,2,24.6690385,24.6690385,43.9503677
DBZ,9,24.744886666666666,25.1106,39.89576
MGB/Autofo,22,28.93052059090909,25.6494,52.84376
AVA-ltb,6,67.873965,26.0614,172.32
SW,3,21.79256666666667,26.1197,27.86306
FLP,13,45.245250000000006,26.4217,117.11430000000001
TRN-rvt,10,42.02538,26.4439,112.6595
ESMM,5,51.129664000000005,27.5074,109.46452
TTG,1,27.9067,27.9067,27.9067
BO,10,46.9434971,31.83895,142.6321
BOB-spb,2,32.14165,32.14165,40.83689
BLS-EV,15,33.261356,32.9356,62.7285
BLS-bls,26,34.90928965384615,37.3433,63.91225
DICH,13,34.08824615384616,37.5006,39.827400000000004
FB,37,38.21106702702703,37.9076,53.79753999999999
SBR,4,54.368072500000004,39.592435,116.72604000000001
GR-fab,2,42.25065,42.25065,47.69837
LKRS,2,43.012275,43.012275,74.173015
BGB,2,45.99089,45.99089,80.209058
AFO,1,46.7486,46.7486,46.7486
PBZ,2,47.6536,47.6536,74.69976
TPF,41,59.64389268292683,48.3783,124.358
BPB,3,34.097813333333335,48.7133,49.61754
VNB,3,39.788000000000004,57.1524,58.8288
