bucket,count,pct
≤5,16562,34.35173086097111
5-10,14891,30.88586065998797
10-20,8314,17.244311700163856
20-50,5661,11.741646443905172
50-100,1766,3.662912492481281
100-200,719,1.4912990272333189
200-500,268,0.5558666749631842
>500,32,0.06637214029411155
