radius_m,unmatched_total,with_nearby_counterpart,pct
25,8269,1721,20.812673842060708
50,8269,2464,29.798040875559316
100,8269,2905,35.13121296408272
200,8269,2908,35.167493046317574
400,8269,2908,35.167493046317574
